,,Communication Services,Consumer Discretionary,Consumer Staples,Energy,Financials,Health Care,Industrials,Information Technology,Materials,Real Estate,Utilities
2020-02-14,Communication Services,0.0004131630288614145,0.00032264038664660656,0.0001754200029323096,0.00042467383205362867,0.0002995953655304562,0.00031944417575770516,0.00031547245271651376,0.00036045241279030675,0.00033951189634746226,0.00015858885302614804,7.027486476557729e-05
2020-02-14,Consumer Discretionary,0.00032264038664660656,0.00039222500721491926,0.00017170510117977368,0.0004074013326444681,0.000321680028717732,0.0002715268986772059,0.00035685240164088684,0.00035961787918742903,0.0003874166234990572,0.00013786056868076766,5.955388263889267e-05
2020-02-14,Consumer Staples,0.0001754200029323096,0.00017170510117977368,0.0001882477052567052,0.00017997486454995139,0.0001646369973502297,0.0001808805869874754,0.00016969352252227,0.00018816743562233488,0.0002002992090894913,0.00013244057017390754,0.00010306548696139951
2020-02-14,Energy,0.00042467383205362867,0.0004074013326444681,0.00017997486454995139,0.0009598840434242519,0.00040429753422707287,0.00036988254301931623,0.00045177190232819833,0.0004454540722462309,0.000502777044113113,8.787730739579331e-05,1.1090541612516501e-05
2020-02-14,Financials,0.0002995953655304562,0.000321680028717732,0.0001646369973502297,0.00040429753422707287,0.0004045700966277917,0.0002862153436519188,0.0003684342529846446,0.0003257345347941387,0.00040185568295265754,8.59968028728999e-05,2.0388351401249928e-05
2020-02-14,Health Care,0.00031944417575770516,0.0002715268986772059,0.0001808805869874754,0.00036988254301931623,0.0002862153436519188,0.00044265929046148687,0.00030160631975411864,0.0003565356630097211,0.000322901381366352,0.00020447411763965264,9.361959874057066e-05
2020-02-14,Industrials,0.00031547245271651376,0.00035685240164088684,0.00016969352252227,0.00045177190232819833,0.0003684342529846446,0.00030160631975411864,0.00042111706865583843,0.00038606182593817873,0.00043295007082931467,0.00012361267344899936,3.813113198361475e-05
2020-02-14,Information Technology,0.00036045241279030675,0.00035961787918742903,0.00018816743562233488,0.0004454540722462309,0.0003257345347941387,0.0003565356630097211,0.00038606182593817873,0.0004911096108514115,0.0003764412376737863,0.0001731625053860144,7.346332965740567e-05
2020-02-14,Materials,0.00033951189634746226,0.0003874166234990572,0.0002002992090894913,0.000502777044113113,0.00040185568295265754,0.000322901381366352,0.00043295007082931467,0.0003764412376737863,0.0005819322352185639,0.00010873453522402721,2.85168096964683e-05
2020-02-14,Real Estate,0.00015858885302614804,0.00013786056868076766,0.00013244057017390754,8.787730739579331e-05,8.59968028728999e-05,0.00020447411763965264,0.00012361267344899936,0.0001731625053860144,0.00010873453522402721,0.00030444675281741853,0.00018427598467134413
2020-02-14,Utilities,7.027486476557729e-05,5.955388263889267e-05,0.00010306548696139951,1.1090541612516501e-05,2.0388351401249928e-05,9.361959874057066e-05,3.813113198361475e-05,7.346332965740567e-05,2.85168096964683e-05,0.00018427598467134413,0.0002294244323029919
2020-02-21,Communication Services,0.000408656406784181,0.00031845415589756853,0.00017591669929951969,0.00041111697441623005,0.00029900134482931844,0.00031489227701501997,0.0003108782458891122,0.0003642722767293897,0.0003278363951364322,0.0001540449041417488,7.343158138109227e-05
2020-02-21,Consumer Discretionary,0.00031845415589756853,0.0003831761673650439,0.00017035342145434914,0.00039380300786042794,0.00031725793172778015,0.00026668695740359507,0.00034865054452555083,0.00035860137578793365,0.0003736104205002542,0.00013369570055760458,6.14931593543e-05
2020-02-21,Consumer Staples,0.00017591669929951969,0.00017035342145434914,0.00018570739396738602,0.00017477113195556854,0.0001652987670851976,0.00017887017210127645,0.00016798228762813244,0.00019224783030237207,0.00019347058137047905,0.00012836594483309018,0.00010290116977485303
2020-02-21,Energy,0.00041111697441623005,0.00039380300786042794,0.00017477113195556854,0.0009241798881909447,0.0003914258763745992,0.00035759262044308466,0.0004363454453150048,0.0004325307752568772,0.0004840415476819317,8.488162772377009e-05,1.1972844566835194e-05
2020-02-21,Financials,0.00029900134482931844,0.00031725793172778015,0.0001652987670851976,0.0003914258763745992,0.00039964582464961483,0.0002826631006142689,0.00036159029213180763,0.00033027289423828764,0.0003877859625914988,8.414589290472194e-05,2.5231941745442337e-05
2020-02-21,Health Care,0.00031489227701501997,0.00026668695740359507,0.00017887017210127645,0.00035759262044308466,0.0002826631006142689,0.0004310253238003203,0.00029517057521906003,0.00035487159686407085,0.0003114819298994957,0.00019772944615458632,9.40173680900322e-05
2020-02-21,Industrials,0.0003108782458891122,0.00034865054452555083,0.00016798228762813244,0.0004363454453150048,0.00036159029213180763,0.00029517057521906003,0.0004100397813587067,0.00038298026101334066,0.0004173534772620405,0.00011989756665271446,4.052435016678824e-05
2020-02-21,Information Technology,0.0003642722767293897,0.00035860137578793365,0.00019224783030237207,0.0004325307752568772,0.00033027289423828764,0.00035487159686407085,0.00038298026101334066,0.0004999445094328141,0.0003640269556831069,0.0001688937679029826,7.981612357661544e-05
2020-02-21,Materials,0.0003278363951364322,0.0003736104205002542,0.00019347058137047905,0.0004840415476819317,0.0003877859625914988,0.0003114819298994957,0.0004173534772620405,0.0003640269556831069,0.0005600681914028209,0.00010477684825911479,2.80415567902059e-05
2020-02-21,Real Estate,0.0001540449041417488,0.00013369570055760458,0.00012836594483309018,8.488162772377009e-05,8.414589290472194e-05,0.00019772944615458632,0.00011989756665271446,0.0001688937679029826,0.00010477684825911479,0.00029313451713377,0.00017807221388088917
2020-02-21,Utilities,7.343158138109227e-05,6.14931593543e-05,0.00010290116977485303,1.1972844566835194e-05,2.5231941745442337e-05,9.40173680900322e-05,4.052435016678824e-05,7.981612357661544e-05,2.80415567902059e-05,0.00017807221388088917,0.00022379994696133989
2020-02-28,Communication Services,0.0008857821708124686,0.000827705161267319,0.0006055549246459719,0.0010766878407796896,0.0008941713796564048,0.0007760319047686719,0.0008369589067569247,0.0008339606667800584,0.0008578999353370252,0.0007017699518486542,0.0006128915933844105
2020-02-28,Consumer Discretionary,0.000827705161267319,0.0009203742908520074,0.0006256383049646717,0.0010997379456943865,0.00094709683415862,0.0007572267984398168,0.0009046609083572602,0.0008566903645760745,0.0009335709510755983,0.0007144625661714566,0.000633017841775166
2020-02-28,Consumer Staples,0.0006055549246459719,0.0006256383049646717,0.0005651266315388175,0.0007714486045276687,0.0006962257539920862,0.0005910999030191086,0.0006380099779557977,0.0006131964484473879,0.0006666306413648087,0.0006138138894180587,0.0005792930761310822
2020-02-28,Energy,0.0010766878407796896,0.0010997379456943865,0.0007714486045276687,0.0018310738259198786,0.0012152406723101494,0.0009981824576189553,0.0011635490898813596,0.0010846901016338035,0.001215836640588728,0.0008470991171113235,0.0007613050162849979
2020-02-28,Financials,0.0008941713796564048,0.00094709683415862,0.0006962257539920862,0.0012152406723101494,0.0011312548714024677,0.0008544063852430336,0.001010123519773,0.0009130400144692867,0.0010410222630383792,0.0007625148337727331,0.0006919006979033145
2020-02-28,Health Care,0.0007760319047686719,0.0007572267984398168,0.0005910999030191086,0.0009981824576189553,0.0008544063852430336,0.0008690239206624788,0.000800521998085439,0.0008057482587035442,0.000820657362287643,0.0007218584170228366,0.0006112022942018767
2020-02-28,Industrials,0.0008369589067569247,0.0009046609083572602,0.0006380099779557977,0.0011635490898813596,0.001010123519773,0.000800521998085439,0.0009817947270132782,0.000896385667324448,0.0009938804815103823,0.0007197772781019058,0.0006310528859003599
2020-02-28,Information Technology,0.0008339606667800584,0.0008566903645760745,0.0006131964484473879,0.0010846901016338035,0.0009130400144692867,0.0008057482587035442,0.000896385667324448,0.0009555623265523649,0.0008826862884980828,0.0007058154970939964,0.0006090018442770067
2020-02-28,Materials,0.0008578999353370252,0.0009335709510755983,0.0006666306413648087,0.001215836640588728,0.0010410222630383792,0.000820657362287643,0.0009938804815103823,0.0008826862884980828,0.0011362957221674322,0.0007104236600752363,0.0006241313769853834
2020-02-28,Real Estate,0.0007017699518486542,0.0007144625661714566,0.0006138138894180587,0.0008470991171113235,0.0007625148337727331,0.0007218584170228366,0.0007197772781019058,0.0007058154970939964,0.0007104236600752363,0.000904135995112296,0.0007807097523482122
2020-02-28,Utilities,0.0006128915933844105,0.000633017841775166,0.0005792930761310822,0.0007613050162849979,0.0006919006979033145,0.0006112022942018767,0.0006310528859003599,0.0006090018442770067,0.0006241313769853834,0.0007807097523482122,0.0008122592237301226
2020-03-06,Communication Services,0.00087981532081629,0.0008348699849109129,0.0005223478270767876,0.001136341783483041,0.0009008766609026634,0.0007191621078628527,0.0008244554886299322,0.0008150866480384375,0.0008239010360309707,0.0006365014015421467,0.0005153813351495272
2020-03-06,Consumer Discretionary,0.0008348699849109129,0.0009393273701011249,0.0005176717757883172,0.0011984326949989188,0.0009679077696651913,0.0006901058947666876,0.0008972036637316549,0.0008419820268448128,0.0008960806753549833,0.0006332959002851971,0.0005051667847393957
2020-03-06,Consumer Staples,0.0005223478270767876,0.0005176717757883172,0.000676164181016002,0.0005221579764007246,0.0005810915310468618,0.0006292329448764298,0.0005719671600353065,0.0005623185658887009,0.0006449384442351691,0.0006756740694991047,0.0007205728214592738
2020-03-06,Energy,0.001136341783483041,0.0011984326949989188,0.0005221579764007246,0.002127993750156282,0.001317057298019035,0.0008599300785990615,0.0011893399778103156,0.0010898005355287107,0.0011641024602587553,0.0006736706755571476,0.00046121703460293097
2020-03-06,Financials,0.0009008766609026634,0.0009679077696651913,0.0005810915310468618,0.001317057298019035,0.001148129395821739,0.0007815586602317525,0.0010001083210724668,0.0008971452788239295,0.000999354208952761,0.0006766412823269073,0.0005562776598762325
2020-03-06,Health Care,0.0007191621078628527,0.0006901058947666876,0.0006292329448764298,0.0008599300785990615,0.0007815586602317525,0.0008638096372935217,0.0007511261770711493,0.0007626529478850783,0.0007912502606144613,0.0007334318894327666,0.0006626324030288433
2020-03-06,Industrials,0.0008244554886299322,0.0008972036637316549,0.0005719671600353065,0.0011893399778103156,0.0010001083210724668,0.0007511261770711493,0.0009579937226217915,0.0008713036424178879,0.0009552296467756392,0.0006656428347838159,0.0005555222887585114
2020-03-06,Information Technology,0.0008150866480384375,0.0008419820268448128,0.0005623185658887009,0.0010898005355287107,0.0008971452788239295,0.0007626529478850783,0.0008713036424178879,0.0009252664321057704,0.0008486110749726782,0.0006613485967914774,0.0005518394835398828
2020-03-06,Materials,0.0008239010360309707,0.0008960806753549833,0.0006449384442351691,0.0011641024602587553,0.000999354208952761,0.0007912502606144613,0.0009552296467756392,0.0008486110749726782,0.0010934628632038154,0.000685828989785342,0.0006048561297109604
2020-03-06,Real Estate,0.0006365014015421467,0.0006332959002851971,0.0006756740694991047,0.0006736706755571476,0.0006766412823269073,0.0007334318894327666,0.0006656428347838159,0.0006613485967914774,0.000685828989785342,0.0009246178065604798,0.0008560373218935072
2020-03-06,Utilities,0.0005153813351495272,0.0005051667847393957,0.0007205728214592738,0.00046121703460293097,0.0005562776598762325,0.0006626324030288433,0.0005555222887585114,0.0005518394835398828,0.0006048561297109604,0.0008560373218935072,0.0009826709358971251
2020-03-13,Communication Services,0.001136132103309817,0.0013219679832685274,0.0008092692984058648,0.0020474862810379796,0.00126086467214635,0.0009618392253905193,0.001172948351141849,0.0010650015736062446,0.0012662550045429404,0.00096641605910563,0.0009650857622383706
2020-03-13,Consumer Discretionary,0.0013219679832685274,0.0018328048917383398,0.0010473828659317735,0.002862056979500148,0.001637097211578117,0.001147371349731367,0.001543303450859726,0.0013129648409351614,0.0017103058661045376,0.0012433709411832261,0.001326449623300786
2020-03-13,Consumer Staples,0.0008092692984058648,0.0010473828659317735,0.0009753859775353169,0.001512851252464855,0.0009764305292630965,0.0008912441975328452,0.0009524193934236493,0.0008383605325849494,0.001122016446569546,0.0010250137034739852,0.001190235208085811
2020-03-13,Energy,0.0020474862810379796,0.002862056979500148,0.001512851252464855,0.005191252749394058,0.002565591348448646,0.0017165771240272058,0.0023953101227422845,0.001973552293635131,0.0026802275478711207,0.0018145110184755197,0.0019897120732897656
2020-03-13,Financials,0.00126086467214635,0.001637097211578117,0.0009764305292630965,0.002565591348448646,0.00164093425400537,0.0011192349439736538,0.0014789339469337072,0.0012452352876564,0.0016059047766769454,0.0011327434381544006,0.0011737088174470635
2020-03-13,Health Care,0.0009618392253905193,0.001147371349731367,0.0008912441975328452,0.0017165771240272058,0.0011192349439736538,0.001082655467833089,0.0010765489555590608,0.0009954422689820955,0.0012026101987183597,0.0010355925106528975,0.0010748397675715733
2020-03-13,Industrials,0.001172948351141849,0.001543303450859726,0.0009524193934236493,0.0023953101227422845,0.0014789339469337072,0.0010765489555590608,0.0014195537300639523,0.0012064272338117054,0.0015399294975021749,0.0011045793652987275,0.0011496781982791274
2020-03-13,Information Technology,0.0010650015736062446,0.0013129648409351614,0.0008383605325849494,0.001973552293635131,0.0012452352876564,0.0009954422689820955,0.0012064272338117054,0.001162442445212086,0.0012755648534644847,0.0009795096779192441,0.0009858314345151987
2020-03-13,Materials,0.0012662550045429404,0.0017103058661045376,0.001122016446569546,0.0026802275478711207,0.0016059047766769454,0.0012026101987183597,0.0015399294975021749,0.0012755648534644847,0.0018263885491035141,0.0012387163728337738,0.0013492012082725144
2020-03-13,Real Estate,0.00096641605910563,0.0012433709411832261,0.0010250137034739852,0.0018145110184755197,0.0011327434381544006,0.0010355925106528975,0.0011045793652987275,0.0009795096779192441,0.0012387163728337738,0.0013223811189776538,0.0013972332475101286
2020-03-13,Utilities,0.0009650857622383706,0.001326449623300786,0.001190235208085811,0.0019897120732897656,0.0011737088174470635,0.0010748397675715733,0.0011496781982791274,0.0009858314345151987,0.0013492012082725144,0.0013972332475101286,0.001705769308560726
