,Communication Services,Consumer Discretionary,Consumer Staples,Energy,Financials,Health Care,Industrials,Information Technology,Materials,Real Estate,Utilities
2018-08-10,0.022781358349502838,0.017396229422980317,0.01810355088148991,0.027567171515031186,0.02164165895460457,0.02111613315934371,0.020653809241967504,0.02101609559268468,0.01898131773441264,0.02038360417290335,0.018986706714466145
2018-08-17,0.022347087506213725,0.017072817786639768,0.018703239468516656,0.02845951637378927,0.0213466098205875,0.02079471794904525,0.02040774961903805,0.020635881497017845,0.01878756654048759,0.02086288451261123,0.01919616868775162
2018-08-24,0.02223849576240161,0.01685443030333156,0.018653504614790657,0.02855085695684788,0.020939666687920803,0.02043547090608645,0.02002364427354592,0.02080887101495971,0.01848994706545677,0.0206312617445457,0.019056922736336072
2018-08-31,0.021873364605617666,0.016552019532869635,0.018309276693938847,0.028012430443192186,0.020543302998416415,0.020145402485785727,0.01965173532803008,0.020469892495253297,0.018137405684074126,0.02026109141276787,0.01878999340545662
2018-09-07,0.02198312476786849,0.01640711973354236,0.0180756027954552,0.028655447083738076,0.020176087955578174,0.01998799828906036,0.019278020153457396,0.02067030166792015,0.017842127294649464,0.020070260823158288,0.0185098386888654
2018-09-14,0.022356496118679934,0.016190399596759542,0.017757700864710062,0.028416475050119912,0.019794752008327206,0.0197259776302733,0.019214525121583045,0.02042249644622075,0.017727877557811023,0.01968794241729346,0.018158777485702875
2018-09-21,0.021930178492824057,0.015940793366166457,0.01742159765491074,0.02803622028138152,0.019728654455283694,0.019358560315277617,0.0188525392303182,0.020040855708513758,0.017931840957932203,0.019337209539699078,0.018066500678394274
2018-09-28,0.021552154217421654,0.015890659755164724,0.017833850524794893,0.027562284802804957,0.020890271094732137,0.019137305212631912,0.019077801778341386,0.019724887731621846,0.018804974898264014,0.019244058925421668,0.01781250994151858
2018-10-05,0.02144591966464061,0.017944683884855265,0.017494201890827534,0.02716027154120968,0.020578673428068833,0.019555259646514847,0.018844224820636024,0.021134293219902865,0.018508914063959856,0.019708650680468127,0.017734160730400707
2018-10-12,0.021927799028101252,0.01881395413662763,0.017684379835530416,0.02892776903640925,0.023127232513125904,0.020760297965072665,0.022952152622441983,0.023017987544182925,0.02276166971003638,0.02031484723165482,0.017669843870771168
2018-10-19,0.0218293092318416,0.018832824827692267,0.01852309037949024,0.029011859667383715,0.022739466600697835,0.02036858162221873,0.022639204845660905,0.022618394480216544,0.022406272024884554,0.020865622347226498,0.01826823748918092
2018-10-26,0.023743934283902136,0.01870117108125112,0.018846038022136354,0.03226295677251954,0.024282717905449357,0.022604013724354957,0.02420838702004923,0.023514025196578112,0.022868511045143945,0.02058908142478185,0.018579700506809727
2018-11-02,0.02449836884332736,0.021903448559715898,0.019192269401755863,0.03172020814172036,0.025444425046753916,0.02321593488393707,0.025440642719937154,0.024582059162157686,0.02611803592843434,0.02036669161223432,0.018272384040399905
2018-11-09,0.024031200341219316,0.02151052944871953,0.01959059345457675,0.03115309107118621,0.025459641422594822,0.023683336265418155,0.025188203004284367,0.024163678886121174,0.026063117310129523,0.021226426900809742,0.019329108679396443
2018-11-16,0.023780330961336495,0.02128773789156413,0.019471064865951845,0.030915922636015128,0.025136903453350606,0.023547774208219022,0.024707874668502033,0.02387567897630027,0.02560535482930355,0.020863415906493123,0.01898253845589268
2018-11-23,0.025031531414319613,0.02133602583643988,0.01936962422080993,0.03211443305824732,0.02492726807749127,0.023718262766759667,0.024774691673768594,0.024918155646817843,0.025890381766490392,0.02067451787848196,0.018922330061117015
2018-11-30,0.025840453889572953,0.02207941795327563,0.019167780984262757,0.03207686995484824,0.02526580062144883,0.02521783486160915,0.02556491555365081,0.026633051438300685,0.025745353898343728,0.020935993980804028,0.018966459378356983
2018-12-07,0.0263579463906492,0.02335463728923537,0.019869890235463674,0.032171574122728114,0.027823008975727214,0.02687927325634428,0.028313648902944424,0.02803702396252977,0.02680006699070764,0.020540283012705038,0.018836638877248093
2018-12-14,0.025861938044544466,0.0231851792852905,0.019522172656006604,0.03247937008825184,0.028036496909416023,0.026520859732080248,0.028020004860237317,0.0275187036836689,0.026465811405221945,0.020481299836640387,0.018486670095642376
2018-12-21,0.030203167992004377,0.02686676710925462,0.023763167476564862,0.035364963974364505,0.02922236529506486,0.030462199938158335,0.02990377653274572,0.03101013686717301,0.027995209389866726,0.02364707530815294,0.020681341766252005
2018-12-28,0.03000491900771192,0.027447175456477985,0.0233209590626052,0.03504241877591707,0.029569251348233874,0.03079317492760619,0.02983404867082141,0.03155008271574125,0.028197216650189386,0.023201683116786526,0.020726695657467285
2019-01-04,0.03103220903315947,0.02752772072893565,0.023063288426534028,0.03710506251002846,0.029868122556482947,0.030260589048246463,0.02975240479940832,0.0309920586902789,0.028326297791214372,0.02278296384948866,0.0203323896342535
2019-01-11,0.03130509362791617,0.0287760908680506,0.02295658218509421,0.03815603143776729,0.029510441357181897,0.03087978290105654,0.03025229025892973,0.03185919529597378,0.02830408108043988,0.024254477673280768,0.02014567734923524
2019-01-18,0.030811562503670228,0.02854413126701633,0.022803274901850815,0.03826608642779194,0.0312051838686262,0.030824915395517603,0.03047992525001374,0.031591340301496205,0.028200747013039686,0.024213044994572563,0.019806296917833113
2019-01-25,0.030238068682081103,0.028016382252347823,0.022807873430650254,0.03762230989252884,0.03061445310080957,0.030242387992325526,0.029921901273225127,0.03128044973448221,0.02767856428317531,0.023849790868846536,0.019434802869001868
2019-02-01,0.029846026073573596,0.02757914610840011,0.022995688318633713,0.03708941517198848,0.030038314825132573,0.029846125206638666,0.029705470489445215,0.030968003511924188,0.027544804139774,0.023986800281317115,0.019461724430489387
2019-02-08,0.02932049079686253,0.02707628545964181,0.022588307571919722,0.037147842976303976,0.029473138559314507,0.029288240288158286,0.029203017427524274,0.030599580089176535,0.0270531716471378,0.023628461621042075,0.019343442202657133
2019-02-15,0.028979435638590487,0.026981773735187276,0.022380190623801692,0.038700920978333365,0.029435433658161547,0.02947995274571914,0.02944260400774396,0.030503004264690534,0.026936254670961193,0.023193867086353986,0.018982666220130884
2019-02-22,0.028426885627722342,0.02651880780339603,0.021954604858750934,0.03801090697151923,0.028932188760358767,0.028954568157163237,0.0288960168958345,0.02996870515670625,0.026807470920343968,0.02275515666727657,0.018955878834633632
2019-03-01,0.027898321567501275,0.026017084571089463,0.021539404715675985,0.03730665700907463,0.02843309843841513,0.028447203079203096,0.028364373224842775,0.029397320933331507,0.02637165545618792,0.02257760037728322,0.01861325787196739
2019-03-08,0.027525787625128587,0.02605321016928689,0.021373573529090105,0.03827327728432006,0.028798466275272508,0.029588716414284,0.028398352512115695,0.02960317185771541,0.02609887694068617,0.022147055861902024,0.018266878518671176
2019-03-15,0.02725968017234295,0.025589929167950047,0.02125265241693814,0.03881941996031617,0.02880491121375018,0.029875706061861147,0.027963409021889877,0.029806933056882878,0.02570085721442308,0.021975452974482702,0.01820510998316583
2019-03-22,0.02682155466627173,0.02512125275473852,0.02096668757313332,0.03809259475880859,0.02992395371311928,0.029459065930771453,0.027650808688895932,0.029287414686368494,0.025475970018345416,0.021562786852024424,0.017858079439601573
2019-03-29,0.026400266290428676,0.025149186923029143,0.02093908302042766,0.03747137336217181,0.029612961964352938,0.028924447737898817,0.027600307229245627,0.02877166767331459,0.025508979708464864,0.021195513733246567,0.01763726404731998
2019-04-05,0.02648427722151089,0.025397380506771858,0.020650099532274434,0.03703975771094343,0.029807735477275075,0.02838316345304301,0.027697744543795866,0.028755118379698855,0.025963060919665968,0.020842713074681503,0.01735089221703747
2019-04-12,0.026067425202171292,0.024915244171325228,0.020345305531313078,0.036384302762929276,0.02942808369329596,0.028039582052173467,0.027176634260664575,0.028289106884820364,0.025468248215975983,0.020456844613195302,0.017027561549441263
2019-04-19,0.0255729389872985,0.024440518375553697,0.01998876130153123,0.03576647646574393,0.028867498768150653,0.029113908566538553,0.026679031685597578,0.027761361893531233,0.02508906120894073,0.021269996864516024,0.017221214966420657
2019-04-26,0.025426444590552964,0.023974445830138767,0.0196268346453206,0.03516624243685074,0.02843324169181758,0.02956120680438259,0.026249910491079442,0.027232101861431823,0.024722046437473992,0.020979332566608083,0.01699010398893444
2019-05-03,0.02508843862478954,0.023536432958746294,0.01925277096560412,0.03562168992136873,0.02794211736092808,0.029174385349911788,0.025826852744006278,0.026745058438651336,0.02425103569159192,0.02059750555361577,0.016666136927058484
2019-05-10,0.024745980350707082,0.02396731213840952,0.018892101777889508,0.03504729415070048,0.027564261145076742,0.028863317626469463,0.02603975601072457,0.027301196577105672,0.02450201512401318,0.02038162366426088,0.01645374535234208
2019-05-17,0.02431380748286172,0.023762976634621263,0.018532412051986323,0.034378996874388106,0.027329741732283593,0.028487134566870166,0.025944073550725255,0.027216099902304863,0.024351956359897554,0.020076377531892148,0.016215005627565688
